frame_ms,scenario_ms,game_ms,render_ms,gpu_ms
1.2356,0.0005,0.5887,1.2737,0.3514
20.8631,0.0008,16.2395,1.3463,0.3593
1.7263,0.0008,3.7778,1.3348,0.3593
1.0503,0.0007,1.5786,1.3348,0.3593
1.2994,0.0004,1.0877,0.9977,0.4625
1.4838,0.0006,1.4328,1.0906,0.4614
1.1379,0.0006,1.3954,1.2737,0.4932
1.0475,0.0006,1.1521,1.0857,0.4618
1.0052,0.0005,0.8994,1.3727,0.4539
1.1927,0.0006,0.8241,0.9082,0.4594
1.1823,0.0006,1.2291,1.2694,0.4518
0.9904,0.0006,1.1131,1.1776,0.4518
1.5602,0.0007,0.7958,1.5847,0.4536
1.2208,0.0006,0.8724,1.1239,0.4565
1.1323,0.0004,0.9599,1.0862,0.4565
1.6201,0.0004,0.8137,1.5059,0.3803
1.1761,0.0006,0.9180,1.3077,0.3803
1.4058,0.0006,0.8656,1.5579,0.3681
1.1739,0.0006,0.8593,0.9422,0.3619
1.3504,0.0008,1.0500,1.3623,0.3619
1.8811,0.0006,0.8158,2.0704,0.4146
1.1346,0.0006,0.8902,1.0004,0.3617
1.2403,0.0004,0.8901,1.2423,0.3617
1.4352,0.0005,0.7566,1.4442,0.3701
1.0871,0.0006,0.7300,1.1774,0.3691
1.2147,0.0004,0.7233,1.0937,0.3633
1.2571,0.0004,0.7141,1.3868,0.3662
1.2512,0.0004,0.6510,1.0998,0.3662
1.5358,0.0004,0.7547,1.3444,0.3722
1.2477,0.0004,0.9898,1.3408,0.3469
1.0442,0.0005,0.9921,1.2954,0.3469
1.3524,0.0006,0.7222,1.2816,0.3427
1.2939,0.0005,1.0708,1.1676,0.3600
1.3484,0.0007,0.9454,1.3806,0.3487
0.9816,0.0003,1.1694,1.1247,0.3487
1.5330,0.0004,0.8909,1.2914,0.3510
0.9036,0.0004,0.8914,0.8366,0.3510
1.0575,0.0004,0.8674,1.3474,0.3585
1.4797,0.0004,0.6518,1.1877,0.3727
1.3223,0.0004,0.9067,1.4270,0.3727
1.2437,0.0005,1.0939,1.3718,0.3788
1.0567,0.0004,1.0791,1.0130,0.3472
1.5865,0.0005,0.7229,1.3610,0.3562
1.1849,0.0004,0.8164,1.4078,0.3562
1.1385,0.0006,0.7030,1.2415,0.3630
2.0042,0.0006,0.6846,1.2997,0.4166
1.1128,0.0005,1.1367,1.5201,0.4166
1.1629,0.0004,0.9785,1.2658,0.3704
1.2760,0.0004,0.6676,1.4510,0.3545
1.3489,0.0005,0.6597,1.2897,0.3593
1.0990,0.0005,0.9510,1.0846,0.3593
1.5655,0.0004,0.6405,1.3113,0.3592
1.1962,0.0004,0.9765,1.2976,0.3731
1.2229,0.0004,1.0735,1.1282,0.3634
1.1687,0.0005,0.9029,1.4523,0.3634
1.1166,0.0003,0.7803,1.1259,0.3640
1.2484,0.0004,0.6113,1.0635,0.3552
1.2586,0.0008,0.6204,1.3748,0.3705
1.8432,0.0008,0.8780,1.5690,0.3646
1.0228,0.0006,1.2208,1.2980,0.3532
1.7398,0.0008,0.8471,1.7457,0.3772
0.9990,0.0004,0.8079,0.9072,0.3772
1.4570,0.0004,0.7771,1.5637,0.3500
1.7686,0.0005,0.6520,1.7029,0.3661
1.2733,0.0004,0.8231,1.3276,0.3640
1.3129,0.0005,0.7386,1.3164,0.3731
1.2501,0.0003,0.6805,1.2391,0.3581
1.2181,0.0003,0.7199,1.2136,0.3613
1.3151,0.0003,0.7283,1.3025,0.3681
1.2668,0.0005,0.6910,1.2776,0.3537
1.3530,0.0004,0.7293,1.2230,0.3537
1.3275,0.0005,0.9244,1.2912,0.3883
1.2147,0.0007,0.9229,1.3083,0.3604
1.2061,0.0006,0.8403,1.0952,0.3604
1.3387,0.0006,0.8534,1.5027,0.3665
1.2531,0.0006,0.7429,1.0760,0.3474
1.4056,0.0005,0.8408,1.5600,0.3645
1.2882,0.0004,0.7880,1.1066,0.3593
1.1681,0.0004,0.9121,1.1993,0.3755
1.5085,0.0005,1.1309,1.6227,0.3836
1.1775,0.0004,0.7494,1.1989,0.3675
1.1327,0.0003,0.7501,0.8547,0.3569
0.9716,0.0003,0.8362,1.2632,0.3569
1.3638,0.0006,0.8053,1.2629,0.3547
1.7261,0.0006,0.8335,1.7255,0.3772
0.8584,0.0005,0.9576,0.8894,0.3772
1.2356,0.0003,0.7827,1.2646,0.3702
1.1354,0.0004,0.7656,0.9983,0.3702
1.3527,0.0007,0.9574,1.4044,0.3691
1.2511,0.0004,0.8016,1.3178,0.3493
1.1466,0.0008,0.8987,1.1285,0.3493
1.2504,0.0006,0.8808,1.2653,0.3688
1.1795,0.0004,0.7071,1.1729,0.3615
1.3195,0.0004,0.7225,1.1853,0.3515
1.0047,0.0005,1.2329,0.9942,0.3515
1.3045,0.0003,0.6719,1.4434,0.3512
1.1893,0.0006,0.6538,1.1342,0.3512
1.8006,0.0005,0.8602,1.6520,0.3505
1.3967,0.0006,1.0858,1.5309,0.3832
1.2934,0.0004,0.8935,1.2273,0.3494
1.6706,0.0005,0.7940,1.7631,0.3504
1.3102,0.0006,0.7950,1.3182,0.3553
0.9321,0.0004,0.8024,0.7527,0.3553
1.1292,0.0006,0.8100,1.3046,0.3589
1.2171,0.0005,0.6724,1.1176,0.3523
1.1078,0.0006,0.6203,1.1941,0.3534
1.0741,0.0003,0.7035,1.1031,0.3551
1.1969,0.0003,0.6705,1.1716,0.3569
1.1985,0.0003,0.7386,1.0661,0.3451
1.5882,0.0020,1.0375,1.2394,0.3545
1.0701,0.0006,1.6112,1.0387,0.3765
1.0907,0.0005,0.9765,1.5530,0.3765
1.3125,0.0008,0.7765,1.2826,0.3397
1.1549,0.0006,0.9030,1.0729,0.3461
1.1093,0.0372,1.1125,1.0552,0.3611
1.0999,0.0007,1.0607,1.1957,0.3471
1.2342,0.0007,1.1046,1.2830,0.3471
1.2539,0.0007,1.0364,1.2108,0.3386
1.2494,0.0004,1.0183,1.2498,0.3409
1.0765,0.0003,0.8057,1.0162,0.3409
