frame_ms,scenario_ms,game_ms,render_ms,gpu_ms
1.3352,0.0008,1.0125,1.2989,0.3485
23.2429,0.0011,18.8567,1.3455,0.3705
1.8318,0.0006,4.0067,1.3044,0.3705
1.1803,0.0008,1.7461,1.3044,0.4739
0.9192,0.0007,1.1357,1.0074,0.4739
0.8086,0.0005,0.8733,0.8753,0.4445
1.0955,0.0004,0.8030,1.1709,0.4632
1.4411,0.0005,1.0867,1.5147,0.4450
1.3825,0.0006,1.0119,1.3219,0.4583
1.7582,0.0008,1.0694,1.6553,0.4583
1.5570,0.0006,1.7863,1.8248,0.4687
1.5027,0.0006,0.9871,1.3434,0.4486
1.1757,0.0004,0.9673,1.3929,0.4486
1.2397,0.0004,0.7220,1.2425,0.4508
1.7839,0.0006,0.7474,1.7423,0.3799
1.2598,0.0004,0.8237,1.2801,0.3635
1.4042,0.0005,0.7966,1.3778,0.3738
1.2347,0.0005,0.7960,1.2433,0.3600
1.2907,0.0005,0.8265,1.2918,0.3710
1.0540,0.0004,0.7429,0.7868,0.3588
1.2265,0.0003,0.8285,1.3473,0.3693
1.0553,0.0007,0.8660,1.2146,0.3761
1.5810,0.0007,1.0330,1.2810,0.3761
1.5881,0.0006,1.0167,1.6351,0.3542
1.0129,0.0003,1.1444,1.1966,0.3581
1.0565,0.0005,0.7970,0.9334,0.3581
1.4415,0.0004,0.7880,1.3802,0.3524
1.1644,0.0005,0.7966,1.3603,0.3547
1.3256,0.0006,0.8890,1.3010,0.3745
1.3546,0.0004,0.8196,1.1152,0.3579
1.3164,0.0007,0.9195,1.5706,0.3579
1.2454,0.0006,0.9735,1.1522,0.3710
1.1303,0.0009,0.8833,1.2139,0.3612
1.3431,0.0005,1.0101,1.3413,0.3630
1.3252,0.0009,0.7926,1.2252,0.3663
1.6616,0.0007,0.9071,1.5852,0.3535
1.3461,0.0009,1.1194,1.2828,0.3555
0.9993,0.0007,1.2726,1.2014,0.3761
1.6785,0.0008,0.8991,1.6204,0.3752
1.2859,0.0007,0.8093,1.3539,0.3710
1.3037,0.0006,0.7928,1.2616,0.3702
0.6939,0.0005,0.8884,0.7288,0.3702
1.4138,0.0005,0.6842,1.3140,0.3567
1.3258,0.0008,0.8481,1.0906,0.3683
1.1016,0.0004,0.9213,1.3674,0.3683
1.3839,0.0004,0.7064,1.3437,0.3757
1.7392,0.0037,0.7590,1.7893,0.3651
1.4753,0.0007,0.7718,1.4419,0.3667
1.4351,0.0008,0.8808,1.4692,0.3859
1.2969,0.0005,1.0028,1.3288,0.3569
1.4592,0.0007,0.7877,1.4219,0.3567
1.1763,0.0006,0.7789,1.2070,0.3670
1.2635,0.0005,0.7673,1.2587,0.3621
1.2544,0.0005,0.7087,1.2664,0.3486
0.9591,0.0003,0.6521,0.8247,0.3486
1.3778,0.0005,0.7184,1.3196,0.3623
1.2269,0.0004,0.9287,1.1340,0.3745
1.0481,0.0004,0.9527,1.2926,0.3745
1.4327,0.0004,0.7491,1.1385,0.3576
1.5449,0.0006,0.9794,1.8053,0.3671
1.2233,0.0008,0.9232,1.1755,0.3878
1.4191,0.0008,0.9536,0.9552,0.4564
1.2827,0.0008,1.0121,1.7525,0.4564
1.5070,0.0006,0.8771,1.2488,0.3900
1.2284,0.0005,1.1301,1.3252,0.3665
0.8815,0.0004,1.1034,1.0859,0.3665
1.7822,0.0004,0.7149,1.7805,0.3688
1.2532,0.0003,0.7251,1.2725,0.3623
1.2487,0.0005,0.7495,1.2155,0.3547
1.2400,0.0004,0.6903,1.2670,0.3518
1.1361,0.0003,0.7129,0.8153,0.3674
1.3617,0.0004,0.8953,1.3641,0.3654
1.0487,0.0003,1.0528,1.3586,0.3654
1.9633,0.0008,0.7564,1.5311,0.3915
1.7696,0.0010,1.1099,1.7871,0.3614
