frame_ms,scenario_ms,game_ms,render_ms,gpu_ms
0.9956,0.0003,0.6232,0.6949,0.3440
19.4310,0.0011,14.5499,1.3858,0.3508
1.7697,0.0007,3.9001,1.3858,0.3508
0.9792,0.0006,1.6729,1.5477,0.3508
0.8893,0.0004,0.9237,0.9576,0.4689
1.0076,0.0004,0.8488,1.1236,0.4528
1.3611,0.0004,0.7590,1.4984,0.4403
1.3413,0.0004,0.7753,1.3691,0.4500
1.0863,0.0004,0.9641,1.1065,0.4568
1.1623,0.0005,1.0131,1.1226,0.4591
1.3472,0.0006,1.2122,1.1529,0.4461
1.3047,0.0004,1.2367,1.5361,0.4461
1.2271,0.0003,0.8428,1.3123,0.4607
1.1159,0.0005,1.0041,1.0462,0.4607
1.5139,0.0005,0.8732,1.5413,0.3622
1.1551,0.0005,0.7071,1.0781,0.3622
1.1307,0.0006,0.7387,1.2464,0.3736
1.2235,0.0006,0.7206,1.0489,0.3586
1.1769,0.0004,0.6434,1.3439,0.3587
1.1764,0.0004,0.7066,0.9945,0.3587
1.1872,0.0004,0.6747,1.3519,0.3766
1.2423,0.0006,0.6440,1.1314,0.3627
1.2859,0.0008,0.6394,1.3770,0.3580
1.1524,0.0006,0.6661,1.1612,0.3684
1.1507,0.0004,0.6323,1.1516,0.3778
1.0850,0.0005,0.9977,0.9089,0.3662
1.4538,0.0004,0.7251,1.5503,0.3593
1.4261,0.0005,0.7483,1.3043,0.3627
1.3346,0.0003,1.1525,1.3578,0.3729
0.9958,0.0004,0.7882,1.0518,0.3587
1.0726,0.0004,0.9951,1.0203,0.3479
1.1291,0.0004,1.0765,1.0993,0.3653
0.9456,0.0004,0.9575,1.0275,0.3511
0.9867,0.0003,0.8084,0.9999,0.3511
1.2402,0.0004,0.7115,1.2760,0.3533
1.0780,0.0003,0.6244,1.1241,0.3650
1.1389,0.0003,0.6597,1.1312,0.3535
1.2018,0.0003,0.6699,1.2011,0.3660
1.2505,0.0006,0.7572,1.0468,0.3563
1.3370,0.0005,1.0651,1.2120,0.3589
1.2896,0.0004,0.8740,1.3372,0.3694
1.4462,0.0005,0.8825,1.1639,0.3699
0.8149,0.0008,1.4321,1.3227,0.3699
1.2130,0.0003,0.7582,1.2193,0.3679
1.4618,0.0004,0.6212,1.2006,0.3510
1.0603,0.0003,0.8909,1.1614,0.3509
1.0957,0.0003,0.9869,1.1741,0.3632
0.8762,0.0003,0.8525,0.9741,0.3632
1.0707,0.0003,0.8216,1.0683,0.3637
1.5865,0.0004,0.7015,1.2957,0.3645
1.3786,0.0004,0.9694,1.4559,0.3789
1.2817,0.0004,1.0632,1.1273,0.3645
0.7812,0.0004,1.1895,1.0205,0.3645
1.6703,0.0003,0.6883,1.7635,0.3780
1.3914,0.0003,0.5846,1.3706,0.3689
1.1915,0.0005,0.7256,1.0481,0.3689
1.1953,0.0003,0.8215,1.2740,0.3840
1.2628,0.0003,0.7130,1.3317,0.3592
1.0105,0.0003,0.6227,1.0198,0.3651
1.1096,0.0007,0.6130,1.0752,0.3780
1.2369,0.0004,0.7287,1.1292,0.3585
1.0114,0.0004,1.0455,1.0732,0.3585
1.9864,0.0005,0.8373,1.9066,0.3575
1.3025,0.0005,0.6759,1.4305,0.3861
1.6385,0.0005,0.7672,1.5797,0.3663
1.3180,0.0004,0.7468,1.2949,0.3724
1.3187,0.0004,0.7796,0.8186,0.3724
1.2789,0.0004,0.7149,1.7736,0.3810
1.8092,0.0005,1.0054,1.3255,0.3769
1.0701,0.0003,0.8945,1.5185,0.3769
1.2488,0.0003,0.6549,1.3566,0.3670
1.1224,0.0003,0.6550,1.1027,0.3566
1.0645,0.0003,0.7940,0.9454,0.3666
1.1510,0.0003,1.0440,1.0530,0.3666
0.9080,0.0003,1.1231,1.1288,0.3609
1.3359,0.0003,0.6431,1.1886,0.3471
1.2064,0.0003,0.6709,1.3438,0.3478
1.2612,0.0004,0.6391,1.1654,0.3697
1.3192,0.0004,0.6014,1.2813,0.3664
1.2371,0.0004,0.6157,1.2334,0.3775
0.9497,0.0003,0.8671,1.0805,0.3718
1.1590,0.0006,0.8833,0.9760,0.3718
1.2811,0.0003,0.7103,1.3983,0.3563
1.2341,0.0004,0.9312,1.1797,0.3927
1.2152,0.0003,0.6417,1.2494,0.3758
1.2612,0.0004,0.7072,1.2677,0.3512
1.1382,0.0005,0.7634,1.0331,0.3512
1.9491,0.0005,0.8912,2.0473,0.3721
1.2744,0.0004,0.7661,1.3083,0.3405
1.2518,0.0004,0.6680,1.2274,0.3504
0.9158,0.0004,0.6408,0.7249,0.3504
1.2809,0.0005,0.6945,1.3816,0.3497
1.2694,0.0005,0.6072,1.3627,0.3533
1.5844,0.0006,0.6452,1.5708,0.3533
1.3598,0.0006,0.7432,1.1864,0.3546
1.3043,0.0006,0.7464,1.3131,0.3819
1.5697,0.0005,0.7548,1.6047,0.3610
0.8693,0.0003,0.9582,0.7589,0.3610
1.2654,0.0003,0.7431,1.3209,0.3529
1.2177,0.0003,0.6772,1.2744,0.3515
1.0753,0.0003,0.9118,1.0424,0.3503
1.0562,0.0004,1.0160,1.0952,0.3503
1.4627,0.0003,0.6491,1.3390,0.3420
0.9964,0.0003,0.8352,1.2253,0.3420
1.1143,0.0003,0.6757,1.1172,0.3421
1.1124,0.0003,0.6999,1.0214,0.3418
1.3983,0.0006,0.6518,1.3964,0.3531
1.3708,0.0005,0.7388,1.3678,0.3586
1.3749,0.0005,0.8212,1.3751,0.3551
1.9786,0.0005,0.8029,1.8788,0.3492
0.9980,0.0005,0.9336,1.0069,0.3432
1.1123,0.0004,0.9714,1.1750,0.3432
1.3676,0.0003,0.9173,1.3614,0.3516
1.0717,0.0004,0.8452,1.0773,0.3516
1.2479,0.0006,0.6609,1.1783,0.3611
1.6957,0.0005,0.6484,1.8163,0.3607
1.2757,0.0004,0.6443,1.2788,0.3519
1.2260,0.0003,0.6320,1.2336,0.3739
1.2600,0.0003,0.6314,1.2557,0.3548
1.2876,0.0003,0.6188,1.2568,0.3567
1.2463,0.0006,0.6782,1.2197,0.3563
1.2915,0.0005,0.8141,1.1832,0.3563
1.5230,0.0006,0.8272,1.4385,0.3640
1.4437,0.0004,1.0595,1.6507,0.3541
1.8896,0.0006,0.7969,1.8567,0.3738
1.2651,0.0004,0.8912,1.2910,0.3442
1.3252,0.0005,0.7684,1.3137,0.3523
1.2894,0.0005,0.7323,1.2995,0.3681
1.2426,0.0005,0.6970,1.2556,0.3673
0.9429,0.0004,0.6463,0.9401,0.3673
1.2006,0.0004,0.7009,1.1960,0.3503
1.2475,0.0003,0.6583,1.2016,0.3568
1.2945,0.0003,0.6788,1.0116,0.3384
1.3023,0.0004,0.9638,1.5296,0.3384
2.1246,0.0007,0.9691,2.1218,0.3519
1.2115,0.0004,0.7863,1.2834,0.3514
1.3062,0.0004,0.7370,1.3046,0.3454
1.3963,0.0004,0.6815,1.2514,0.3511
0.6900,0.0003,0.7997,0.7314,0.3588
0.9944,0.0003,0.6520,1.0995,0.3588
1.2745,0.0005,0.6395,1.1189,0.3516
1.1288,0.0004,0.7469,1.2771,0.3545
1.0360,0.0003,0.7139,0.9224,0.3362
1.1802,0.0003,0.6303,1.2375,0.3567
1.3487,0.0003,0.6089,1.3516,0.3507
1.2626,0.0005,0.7094,1.1936,0.3462
1.1567,0.0006,0.8904,1.1356,0.3462
1.6603,0.0005,0.7779,1.5645,0.3885
1.1073,0.0004,1.0454,1.1269,0.3548
1.1495,0.0003,0.9843,1.1064,0.3487
0.9668,0.0004,0.9381,1.1347,0.3487
1.1278,0.0003,0.7841,1.1923,0.3773
1.2366,0.0003,0.6288,1.1181,0.3421
1.1435,0.0004,0.8304,0.9878,0.3379
0.7922,0.0004,1.0326,0.9919,0.3379
1.1624,0.0005,0.6702,1.2299,0.3643
1.1856,0.0003,0.5624,1.0518,0.3348
1.5189,0.0003,0.7549,1.6249,0.3459
1.2756,0.0003,0.6793,1.2772,0.3625
1.4781,0.0006,0.5958,1.3266,0.3478
1.2556,0.0006,0.8373,0.9466,0.3478
1.6397,0.0008,0.9336,2.0284,0.3462
1.1639,0.0006,0.9388,1.0864,0.3547
1.0259,0.0003,1.0850,1.0352,0.3358
1.0622,0.0003,0.9816,1.0155,0.3425
1.0364,0.0004,0.7965,1.1602,0.3425
1.2752,0.0003,0.6194,1.3132,0.3480
1.0198,0.0003,0.6161,1.0128,0.3484
1.1088,0.0004,0.6496,1.0834,0.3462
1.1921,0.0003,0.6319,1.2168,0.3451
1.1297,0.0003,0.6713,1.1306,0.3440
1.0718,0.0003,0.6127,1.0334,0.3451
1.6748,0.0004,0.6480,1.6780,0.3423
1.2641,0.0004,0.6707,1.2768,0.3704
1.1888,0.0005,0.7227,0.8649,0.3704
1.3682,0.0004,0.7462,1.4910,0.3474
1.0361,0.0004,0.8460,1.1845,0.3474
1.2517,0.0003,0.6436,1.2707,0.3504
1.2104,0.0004,0.6790,1.2228,0.3504
