machine_id,cpu,gpu,ram_gb,os,engine_version,build_config,rhi,affinity,core_count,substrate,scenario,param_n,param_extra,repeat_index,warmup_seconds,measured_seconds,measured_frames,average_fps,hitch_ratio,render_bound,warnings,frame_ms_median,frame_ms_p95,frame_ms_min,frame_ms_max,scenario_ms_median,scenario_ms_p95,game_ms_median,game_ms_p95,render_ms_median,gpu_ms_median
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,10000,mode=disabled;tickgroup=prephysics,0,3.002,10.001,6143,614.3,0.00716,True,렌더 스레드(1.592ms)가 게임 스레드(0.774ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.6073,2.1417,0.6876,26.1044,0.0005,0.0008,0.7736,1.0715,1.5922,0.3506
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,10000,mode=disabled;tickgroup=prephysics,1,3.002,10.0,6472,647.2,0.01344,True,히치 1.3% (87 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.503ms)가 게임 스레드(0.812ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.5136,2.0541,0.6732,23.8387,0.0005,0.0008,0.8125,1.1613,1.5029,0.3516
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,10000,mode=disabled;tickgroup=prephysics,2,3.001,10.002,6563,656.2,0.0195,True,히치 2.0% (128 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.462ms)가 게임 스레드(0.829ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.4819,2.0775,0.6925,26.6579,0.0004,0.0008,0.8292,1.1914,1.4619,0.3528
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,10000,mode=disabled;tickgroup=prephysics,3,3.001,10.001,6255,625.4,0.00991,True,렌더 스레드(1.557ms)가 게임 스레드(0.846ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.5742,2.1136,0.6652,26.6729,0.0005,0.0008,0.8464,1.2021,1.5569,0.3515
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,10000,mode=disabled;tickgroup=prephysics,4,3.0,10.0,6669,666.9,0.01859,True,히치 1.9% (124 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.445ms)가 게임 스레드(0.805ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.4602,2.0252,0.6151,22.2926,0.0004,0.0007,0.8052,1.1709,1.4449,0.352
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,10000,mode=tick;tickgroup=prephysics,0,3.003,10.002,2285,228.5,0.00088,False,,4.351,4.8112,3.5662,22.6617,0.0008,0.0011,4.342,4.7911,1.1809,0.4986
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,10000,mode=tick;tickgroup=prephysics,1,3.001,10.002,2261,226.1,0.00088,False,,4.3619,5.0277,3.9351,25.1977,0.0008,0.0011,4.3596,5.018,1.1737,0.5042
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,10000,mode=tick;tickgroup=prephysics,2,3.0,10.003,2239,223.8,0.00089,False,,4.4133,5.1024,3.8904,30.3219,0.0008,0.0011,4.3968,5.099,1.1938,0.5045
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,10000,mode=tick;tickgroup=prephysics,3,3.001,10.003,2262,226.1,0.00088,False,,4.3585,5.0185,3.6778,28.532,0.0007,0.001,4.3515,5.0442,1.1654,0.4926
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,10000,mode=tick;tickgroup=prephysics,4,3.002,10.001,2229,222.9,0.00135,False,,4.4221,5.0764,3.9207,25.3833,0.0008,0.0011,4.4214,5.1024,1.2178,0.4931
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,10000,mode=timer;tickgroup=prephysics,0,3.003,10.001,4239,423.8,0.33923,True,히치 33.9% (1438 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.244ms)가 게임 스레드(1.054ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.1917,5.6749,0.532,23.1671,0.0006,0.001,1.0535,5.4093,1.2444,0.4376
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,10000,mode=timer;tickgroup=prephysics,1,3.001,10.004,4219,421.7,0.33728,True,히치 33.7% (1423 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.271ms)가 게임 스레드(1.059ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.2011,5.6335,0.5657,24.7792,0.0005,0.0009,1.0591,5.3924,1.2714,0.4379
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,10000,mode=timer;tickgroup=prephysics,2,3.001,10.004,4318,431.6,0.33881,True,히치 33.9% (1463 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.274ms)가 게임 스레드(1.040ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.2029,5.3305,0.5541,38.1822,0.0005,0.0009,1.0396,5.0574,1.2743,0.4289
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,10000,mode=timer;tickgroup=prephysics,3,3.005,10.002,4126,412.5,0.33834,True,히치 33.8% (1396 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.313ms)가 게임 스레드(1.079ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.2393,5.7318,0.5464,24.1409,0.0006,0.0011,1.0788,5.4703,1.3132,0.4446
