frame_ms,scenario_ms,game_ms,render_ms,gpu_ms
4.0734,0.0006,4.1447,1.2733,0.4686
30.3219,0.0010,24.4580,1.6514,0.7287
5.3898,0.0008,7.6490,1.6142,0.7287
5.0616,0.0008,5.3927,2.1563,0.5950
5.1975,0.0058,5.3717,2.1563,1.0329
4.6587,0.0007,4.8331,2.1932,0.5878
4.5807,0.0008,4.5571,1.8766,0.5715
4.7017,0.0013,4.5343,1.9079,0.5796
4.5589,0.0007,4.7369,1.5216,0.6012
4.5615,0.0009,4.5633,1.8525,0.5848
4.7404,0.0007,4.6344,1.3275,0.5809
5.4981,0.0009,4.7974,1.5813,0.5885
4.8579,0.0008,5.6143,1.6246,0.5997
4.4341,0.0010,4.5942,1.7618,0.4910
4.7860,0.0009,4.5190,1.3450,0.4833
5.1339,0.0010,5.2747,1.4559,0.5191
4.6718,0.0009,4.7050,1.4559,0.4803
4.4864,0.0007,4.5038,1.1758,0.4963
4.9945,0.0008,4.8639,1.3945,0.4882
4.5944,0.0008,4.7473,1.7820,0.4991
4.4620,0.0009,4.4460,1.2408,0.4898
4.7117,0.0009,4.5859,1.4562,0.4707
5.0701,0.0009,4.7271,1.3325,0.4877
4.5299,0.0007,5.0320,1.7956,0.4878
4.3678,0.0008,4.4457,1.6846,0.4717
4.8084,0.0009,4.5705,1.6578,0.4748
4.6528,0.0009,4.7874,1.5725,0.5153
4.6282,0.0007,4.5566,1.6490,0.4988
4.4429,0.0010,4.5000,1.4798,0.4811
4.6370,0.0010,4.5803,1.7611,0.5095
4.5132,0.0011,4.6306,1.7611,0.4921
4.6261,0.0010,4.5059,1.2259,0.4969
4.6771,0.0009,4.6325,1.5277,0.4746
4.6024,0.0011,4.6081,1.8418,0.5254
4.9186,0.0009,4.7189,1.7026,0.5041
5.2013,0.0012,5.0813,1.4899,0.4836
4.9887,0.0010,5.2908,1.3457,1.3650
4.9263,0.0011,4.6489,1.2279,0.4819
4.5568,0.0008,4.8958,1.2178,0.4877
4.7411,0.0012,4.6150,1.2178,0.4812
4.5725,0.0007,4.7186,1.1791,0.4988
4.4630,0.0008,4.5244,1.1058,0.4892
4.3755,0.0009,4.3624,1.2081,0.4888
4.7186,0.0009,4.5644,1.3135,0.4791
4.7668,0.0010,4.7135,1.5956,0.5085
4.5885,0.0009,4.6930,1.6802,0.4946
4.8931,0.0009,4.6196,1.5300,0.4797
4.8170,0.0009,5.0520,1.5826,0.5267
4.4276,0.0009,4.6379,1.6583,0.4953
4.4217,0.0009,4.3188,1.4641,0.4845
4.7567,0.0010,4.6908,1.2171,0.5020
4.4118,0.0010,4.4927,1.1293,0.5020
4.3626,0.0006,4.3882,1.1264,0.5004
4.6763,0.0010,4.3487,1.2450,0.5080
4.8314,0.0007,5.0205,1.8350,0.5364
4.4690,0.0007,4.6041,1.7719,0.5191
4.4857,0.0008,4.3804,1.2622,0.4992
5.2657,0.0008,4.6620,1.3675,0.5016
4.4649,0.0008,5.1587,1.1829,0.5097
4.5746,0.0007,4.5097,1.2519,0.4916
4.6630,0.0010,4.6082,1.2519,0.5047
5.1414,0.0011,4.9056,1.4917,0.5257
4.6132,0.0008,4.9689,1.0813,0.4931
4.3081,0.0008,4.3317,1.0680,0.4913
4.5615,0.0007,4.3877,1.2649,0.5008
4.6058,0.0010,4.5376,1.7880,0.5334
4.4769,0.0007,4.7478,1.0891,0.4899
4.3979,0.0008,4.3685,1.1156,0.4999
4.4987,0.0006,4.3716,1.5193,0.4846
4.2827,0.0007,4.4225,1.1229,0.5036
4.2887,0.0007,4.2701,1.2766,0.4829
4.2790,0.0007,4.3104,1.1045,0.4940
4.4703,0.0008,4.3926,1.4576,0.4822
4.5734,0.0009,4.4640,1.3002,0.5147
5.3647,0.0008,4.6157,1.1494,0.5276
4.4782,0.0010,5.2213,1.2955,0.5276
4.4406,0.0006,4.5685,1.1095,0.4912
4.2489,0.0008,4.4047,1.0053,0.4997
3.9397,0.0005,4.0454,0.9310,0.5040
4.7527,0.0005,3.9800,1.0725,0.5025
4.1731,0.0007,4.8036,1.0565,0.5144
4.2830,0.0007,4.2792,1.0744,0.5075
4.1438,0.0006,4.2478,0.9618,0.4934
5.3075,0.0007,4.3073,1.1834,0.5060
4.2935,0.0006,5.1940,1.0515,0.5060
4.0752,0.0007,4.1363,0.9686,0.4959
4.2304,0.0006,4.0775,1.0364,0.5048
4.3797,0.0008,4.3225,1.1112,0.4864
4.2337,0.0009,4.4191,0.9890,0.5323
4.1047,0.0006,4.1262,0.9326,0.5066
4.0591,0.0011,4.0991,0.9891,0.5163
4.3832,0.0006,4.1620,1.1197,0.5037
4.1553,0.0009,4.3188,1.1087,0.7792
4.1083,0.0006,4.1048,0.9644,0.5230
4.1738,0.0008,4.1358,1.0087,0.5070
4.5597,0.0009,4.3885,1.2187,0.7451
4.0641,0.0006,4.2998,0.9440,0.5034
4.0599,0.0006,4.0854,1.0108,0.5042
3.9762,0.0009,4.0014,0.9281,0.5123
4.5708,0.0008,4.3651,1.7052,0.4982
4.1912,0.0007,4.2506,1.2981,0.4973
4.1143,0.0006,4.1659,0.9770,0.4937
4.0829,0.0008,4.0705,0.9254,0.4871
4.3580,0.0008,4.2284,1.1667,0.4879
4.1378,0.0008,4.2937,0.9839,0.5002
4.1607,0.0008,4.1277,0.9921,0.5124
4.1643,0.0008,4.1492,1.0047,0.4969
5.0526,0.0007,4.2767,1.1481,0.5159
4.1040,0.0006,4.9339,0.9756,0.5159
4.0026,0.0008,4.0389,0.9264,0.5003
4.2269,0.0006,4.0501,1.0702,0.4913
4.3031,0.0007,4.2908,1.0657,0.7680
4.0693,0.0006,4.2329,0.9865,0.4987
4.0386,0.0005,4.0332,0.9883,0.5059
4.3127,0.0008,4.2054,1.1284,0.4873
4.3492,0.0007,4.3276,1.1054,0.5120
4.0124,0.0005,4.1602,1.0005,0.5049
4.1850,0.0006,4.0391,1.0713,0.5240
4.1043,0.0008,4.1612,1.0286,0.5057
4.1955,0.0007,4.1682,1.0816,1.2613
3.9920,0.0005,4.1192,0.9929,0.5011
4.5829,0.0005,4.1928,0.9842,0.4877
4.3780,0.0010,4.4281,1.1195,0.5277
4.3293,0.0007,4.4550,1.1250,0.5152
4.0579,0.0007,4.1856,1.0015,0.5158
4.1331,0.0006,4.0780,1.1188,0.5002
4.3626,0.0008,4.2803,1.4995,0.4988
4.2664,0.0008,4.3387,1.1109,0.5195
4.1457,0.0006,4.1358,1.0291,0.4941
4.2641,0.0006,4.3012,1.4330,0.4897
5.2021,0.0010,4.2188,1.1027,0.5278
4.1903,0.0006,5.1577,0.9911,0.5278
4.2459,0.0007,4.3037,1.4437,0.5049
4.1433,0.0007,4.0871,1.0613,0.5058
4.3741,0.0008,4.2937,1.1396,0.4916
4.6842,0.0008,4.2446,1.0386,0.5241
4.3042,0.0007,4.7164,1.1383,0.5165
5.2008,0.0008,4.4745,1.1504,0.5048
4.9518,0.0007,5.5865,1.5242,0.5064
4.5035,0.0008,4.5958,1.6388,0.5015
4.7228,0.0008,4.4860,1.7231,0.5099
5.0425,0.0007,5.1542,1.6918,0.5067
4.5328,0.0009,4.5484,1.2528,0.5256
4.2134,0.0008,4.3690,1.0037,0.5041
4.1346,0.0008,4.1793,1.0614,0.5114
4.6231,0.0010,4.3167,1.1912,0.5135
4.6564,0.0007,4.5999,1.3181,0.5120
4.3502,0.0007,4.6259,1.1628,0.4986
4.1114,0.0007,4.2141,0.9717,0.5049
4.5472,0.0007,4.4348,1.2008,1.4308
4.1648,0.0005,4.3073,1.0066,0.5192
4.0312,0.0006,4.0506,0.9763,0.4971
4.0508,0.0006,4.0612,1.0291,0.5134
4.4424,0.0005,4.2921,1.1240,0.5065
4.1399,0.0004,4.2844,0.9636,0.5090
3.9715,0.0005,3.9981,0.9785,0.5220
4.0780,0.0008,4.0432,1.0433,0.5122
4.5488,0.0008,4.3854,1.1215,0.5245
4.1903,0.0009,4.3196,0.9926,0.5247
3.9682,0.0006,4.0460,1.0045,0.5129
4.3215,0.0010,4.0757,1.2921,0.5005
5.0206,0.0007,4.4007,1.1253,0.5027
4.2106,0.0008,4.9791,1.2121,0.5027
4.1633,0.0006,4.1978,0.9512,0.5134
4.4140,0.0008,4.2677,1.2163,0.4970
4.1468,0.0006,4.2401,1.0641,0.5317
4.7491,0.0007,4.2107,0.9754,0.5094
4.0998,0.0006,4.6627,0.9576,0.4960
4.4088,0.0007,4.2279,1.4290,0.4857
4.1237,0.0009,4.2951,0.9731,0.5334
4.1911,0.0007,4.1978,0.9907,0.5115
4.2221,0.0007,4.1744,0.9907,0.4932
4.3430,0.0007,4.2558,1.1310,0.5002
4.0512,0.0006,4.2092,1.0571,0.5273
4.0728,0.0006,4.0626,0.9583,0.4951
4.2346,0.0006,4.1881,0.9583,0.5133
4.4620,0.0007,4.2882,1.5664,0.5039
4.3625,0.0008,4.5574,0.9728,0.4989
4.1210,0.0009,4.1299,0.9414,0.5074
4.0858,0.0007,4.0852,0.9986,0.5001
5.0590,0.0007,4.2211,1.1482,0.5185
4.1465,0.0006,5.0035,0.9858,0.5185
4.1422,0.0006,4.1542,0.9814,0.5036
3.9997,0.0007,4.0177,0.9201,0.5086
4.4034,0.0008,4.2175,1.3201,0.5088
4.0598,0.0007,4.2040,0.9611,0.5207
4.0955,0.0006,4.1321,1.0089,0.5002
4.0169,0.0007,4.0067,0.9734,0.4990
4.2260,0.0007,4.0918,1.1284,0.5108
4.1124,0.0009,4.2540,1.0191,0.5269
4.3373,0.0009,4.1432,1.3177,0.5313
4.2347,0.0009,4.3108,1.0273,0.4996
4.3731,0.0006,4.3504,1.1329,0.9958
4.2042,0.0006,4.2083,1.1925,0.5213
4.2350,0.0007,4.2614,1.0428,0.5114
4.1547,0.0007,4.1647,1.0382,0.5319
4.3147,0.0008,4.2046,1.1725,1.4083
4.2748,0.0006,4.3623,1.0267,0.5187
4.0425,0.0008,4.1399,0.9591,0.5136
4.1344,0.0009,4.0644,0.9634,0.5095
4.4637,0.0007,4.2853,1.2629,0.8224
4.1215,0.0008,4.3331,1.0016,0.5120
4.1007,0.0006,4.1647,0.9492,0.5264
4.0509,0.0008,3.9700,1.1124,0.5050
4.3819,0.0007,4.2739,1.1443,1.4252
4.2493,0.0005,4.2518,1.0591,0.4897
4.0491,0.0008,4.1892,0.9822,0.5147
4.0637,0.0011,4.0523,0.9850,0.5014
4.4872,0.0006,4.3163,1.1276,0.5249
4.1383,0.0007,4.2958,0.9630,0.4873
4.1138,0.0006,4.1256,0.9850,0.5161
4.1313,0.0009,4.0397,1.0157,0.5129
4.4316,0.0007,4.3324,1.1415,1.7176
4.0717,0.0006,4.3149,0.9740,0.5031
4.0863,0.0006,4.0557,0.9384,0.5041
4.2328,0.0008,4.0972,1.0191,0.5139
4.3658,0.0006,4.3511,1.1085,0.5111
4.3990,0.0009,4.3962,1.2637,0.5187
4.0333,0.0006,4.1923,0.9514,0.4929
4.1946,0.0009,4.0504,1.1336,0.5012
4.2184,0.0008,4.2614,1.0368,0.5265
4.0546,0.0007,4.1184,1.0249,0.5195
3.9960,0.0007,4.0401,1.1759,0.5186
4.2790,0.0008,4.0629,1.2838,0.8396
4.9612,0.0009,4.3633,1.1922,0.5158
4.1755,0.0006,4.9161,0.9855,0.5158
4.2553,0.0006,4.2432,1.0198,0.4941
4.4431,0.0008,4.3055,1.1531,0.5117
4.1263,0.0005,4.2873,1.0050,0.5633
