frame_ms,scenario_ms,game_ms,render_ms,gpu_ms
1.0591,0.0003,0.9004,1.0754,0.3626
23.4442,0.0009,18.7296,1.3232,0.3617
1.6294,0.0007,3.9717,1.1979,0.3617
1.4437,0.0004,1.8421,1.1979,0.4723
1.1319,0.0029,1.0997,0.9083,0.4723
1.2491,0.0004,1.1274,0.9946,0.4665
1.2356,0.0003,1.5812,0.9946,0.4743
0.8266,0.0003,0.8832,0.9895,0.4578
1.1769,0.0003,0.8729,0.9403,0.4521
1.0904,0.0003,1.4246,1.0518,0.4526
0.6878,0.0003,0.7575,1.0565,0.4526
0.9785,0.0003,0.6784,0.9840,0.4558
1.8901,0.0005,1.2159,1.4149,0.4595
1.3525,0.0004,1.5703,1.0370,0.4646
0.8274,0.0005,1.0791,1.2996,0.3610
1.4627,0.0003,1.4304,0.9287,0.3514
0.6873,0.0003,0.8674,0.8611,0.3705
0.7726,0.0003,0.6365,0.7982,0.3705
1.2991,0.0004,1.0669,1.4537,0.3727
1.0178,0.0003,0.8742,1.0139,0.3727
1.9776,0.0003,1.0299,1.9766,0.3949
1.7607,0.0003,1.3659,1.0958,0.3833
0.6492,0.0003,1.1058,0.8298,0.3657
0.9125,0.0004,0.5837,1.1541,0.3657
1.3033,0.0003,0.8541,1.2269,0.3550
0.9794,0.0003,0.7701,0.9085,0.3550
1.4430,0.0003,0.7346,1.4347,0.3548
1.4781,0.0005,1.2237,1.4523,0.3611
1.0484,0.0004,0.9575,1.1577,0.3611
1.5475,0.0004,0.7743,1.2372,0.3733
1.2651,0.0005,1.6116,1.1458,0.3715
0.7021,0.0004,0.8233,0.9665,0.3715
1.2624,0.0004,0.6720,1.2045,0.3629
1.3071,0.0004,1.3146,1.1975,0.3629
1.4447,0.0004,0.8114,1.5773,0.3570
1.1042,0.0004,0.8265,1.0697,0.3632
1.6559,0.0004,1.4762,1.1778,0.3721
0.7017,0.0003,1.0577,1.1998,0.3721
1.5094,0.0003,0.7331,1.5027,0.3563
2.1167,0.0006,1.5762,0.8845,0.3858
0.7751,0.0004,1.3833,0.8845,0.3874
0.6797,0.0004,0.6884,0.8019,0.3874
1.1798,0.0005,0.9929,1.3689,0.3914
1.0591,0.0003,0.7125,1.0635,0.3636
1.1291,0.0003,0.6180,1.1140,0.3693
1.4496,0.0004,1.1518,1.1292,0.3595
0.9644,0.0005,0.9099,1.0461,0.3511
1.1563,0.0003,1.0185,1.2459,0.3511
1.2124,0.0003,1.1734,1.3082,0.4194
1.1840,0.0004,0.7050,1.1981,0.3547
1.0994,0.0004,0.6894,1.0055,0.3547
1.5345,0.0004,1.0389,1.5712,0.3687
1.1121,0.0003,0.8865,1.1290,0.3548
1.0971,0.0004,0.7646,1.1195,0.3548
1.2404,0.0003,1.0238,1.2072,0.3628
1.0733,0.0003,0.7429,1.1002,0.3568
1.2256,0.0004,0.6587,1.0685,0.3507
1.2305,0.0003,0.9661,1.2895,0.3638
1.3961,0.0003,0.6981,1.2520,0.3644
1.1581,0.0004,0.8997,1.1750,0.3675
1.0629,0.0004,1.3347,0.9530,0.3675
1.2538,0.0004,0.7433,1.3529,0.3701
1.6954,0.0005,0.7142,1.8488,0.3643
1.2526,0.0003,1.0762,1.3017,0.3616
1.2757,0.0003,0.6880,1.0858,0.3539
1.0966,0.0003,0.7847,1.2858,0.3866
1.4863,0.0003,1.2891,1.0263,0.3610
0.7956,0.0003,0.8000,1.0240,0.3684
1.1118,0.0004,0.7890,1.0562,0.3684
1.1404,0.0004,0.9435,1.3165,0.3644
1.0895,0.0004,0.6071,0.9428,0.3464
1.0921,0.0003,0.6958,1.2252,0.3474
1.3951,0.0003,1.1963,0.9692,0.3496
1.0601,0.0003,0.8287,0.8778,0.3489
0.9075,0.0003,1.0213,1.3090,0.3489
1.8996,0.0005,0.9952,1.6297,0.3611
0.8349,0.0003,1.1998,1.1092,0.3386
1.1008,0.0004,0.7443,1.1554,0.3534
1.1082,0.0004,0.9585,0.9431,0.3529
1.2473,0.0004,0.8516,1.3148,0.3529
1.0808,0.0003,0.9070,1.1930,0.3495
1.2304,0.0003,1.0232,1.0766,0.3414
1.0476,0.0003,0.9280,1.1009,0.3414
1.2061,0.0006,0.8760,1.2231,0.3467
1.5815,0.0003,0.9788,1.3218,0.3409
1.0107,0.0006,0.8581,1.3240,0.3409
1.0662,0.0006,0.7907,1.0698,0.3527
1.1646,0.0003,0.8865,1.1483,0.3605
1.4256,0.0004,0.6404,1.1119,0.3586
1.6354,0.0003,0.6629,1.6537,0.3524
1.6760,0.0005,1.0929,1.4962,0.3536
0.9733,0.0004,1.0666,1.4304,0.3480
1.3320,0.0004,0.8129,1.0214,0.3529
1.1193,0.0003,1.1251,1.2705,0.3612
1.0140,0.0003,0.7520,1.0559,0.3612
1.1936,0.0003,0.6219,1.2598,0.3489
1.2137,0.0004,0.9558,1.1288,0.3601
1.3410,0.0004,0.6409,1.3236,0.3481
1.2733,0.0004,0.7391,1.3376,0.3547
1.0628,0.0004,1.1457,1.1339,0.3474
1.1061,0.0003,0.6126,1.0792,0.3531
1.0442,0.0003,0.6719,1.0751,0.3449
1.6471,0.0004,1.0171,1.2281,0.3742
1.3976,0.0004,0.9034,1.6456,0.3609
1.0917,0.0004,0.8574,1.0655,0.3609
1.1725,0.0003,0.9272,1.3318,0.3593
0.9736,0.0003,0.7717,0.9328,0.3593
1.1508,0.0003,0.8360,1.1649,0.3640
1.1213,0.0003,0.9679,1.1338,0.3386
1.0602,0.0003,0.6633,1.0698,0.3386
1.3638,0.0003,0.6921,1.2749,0.3567
1.4067,0.0003,1.3069,0.8091,0.3634
0.7968,0.0004,0.7794,1.0356,0.3634
1.2644,0.0003,0.6180,1.2429,0.3366
1.4623,0.0003,0.8578,1.3927,0.3456
1.0584,0.0003,0.7526,1.1429,0.3456
1.6480,0.0003,0.9673,1.4522,0.3779
1.5773,0.0003,1.9790,1.2322,0.3525
0.6605,0.0003,0.8731,0.7510,0.3530
1.2757,0.0003,0.6697,1.1872,0.3494
1.0731,0.0004,1.2502,1.3315,0.3494
1.1706,0.0003,0.6705,1.2629,0.3473
1.4395,0.0003,0.6161,1.4266,0.3581
1.1373,0.0003,1.0651,0.7764,0.3461
0.9300,0.0003,0.6745,1.0049,0.3461
1.2254,0.0003,0.6597,1.3348,0.3482
1.3158,0.0003,0.9188,1.2973,0.3448
1.1241,0.0003,0.6554,1.2267,0.3470
1.0500,0.0003,0.6609,1.0407,0.3403
1.2596,0.0004,1.0332,1.2181,0.3498
1.6990,0.0004,0.7118,1.3900,0.3734
1.0656,0.0004,0.9140,1.2864,0.3734
1.6404,0.0005,1.0099,1.3675,0.3399
1.0163,0.0004,0.8048,1.3216,0.3399
1.3717,0.0005,0.6392,1.2839,0.3557
1.0912,0.0003,1.0615,1.0934,0.3557
1.2577,0.0003,0.6499,1.4204,0.3519
1.2534,0.0004,0.5845,1.1225,0.3487
1.5772,0.0003,1.4731,1.0633,0.3370
0.7103,0.0004,1.0482,0.8453,0.3523
1.1636,0.0004,0.5969,1.2206,0.3523
1.2914,0.0006,0.9141,1.3335,0.3468
1.0667,0.0003,0.6739,1.1995,0.3690
1.5617,0.0008,0.6399,1.2584,0.3553
1.9923,0.0004,1.6290,1.5743,0.3618
0.8523,0.0003,1.2153,0.9698,0.3483
1.0300,0.0003,0.9330,0.9234,0.3529
1.1906,0.0003,1.2209,0.9637,0.3518
0.6468,0.0004,0.8705,0.9916,0.3518
1.3270,0.0004,0.6570,1.4449,0.3441
1.3110,0.0005,1.1080,1.1191,0.3449
0.9137,0.0004,0.8559,1.1079,0.3449
1.3957,0.0004,0.6384,1.0928,0.3479
1.1579,0.0004,1.1467,1.2490,0.3479
1.1947,0.0004,0.8686,1.3584,0.3593
1.1154,0.0003,0.7343,1.0154,0.3593
1.7870,0.0007,0.9727,1.5038,0.3448
1.0674,0.0006,1.2536,1.4512,0.3448
1.1383,0.0004,0.8076,1.1536,0.3799
1.2997,0.0003,0.9620,1.1199,0.3636
0.9852,0.0004,0.9479,1.1629,0.3636
1.2674,0.0003,0.6618,1.1427,0.3564
1.1231,0.0004,1.0216,1.0708,0.3488
1.3862,0.0003,0.6542,1.4089,0.3380
1.1900,0.0003,0.6017,1.3432,0.3541
1.2354,0.0003,0.8927,1.1437,0.3391
1.2766,0.0003,0.7018,1.1482,0.3483
0.9375,0.0003,1.2034,1.1315,0.3483
1.3072,0.0004,1.1368,1.1545,0.3416
0.9588,0.0003,0.8449,1.0399,0.3416
1.5411,0.0004,0.6427,1.4267,0.3459
1.5304,0.0003,1.0588,1.4739,0.3815
1.1666,0.0003,1.0280,1.1676,0.3489
1.0346,0.0003,1.0904,1.0302,0.3459
1.4363,0.0003,1.5723,1.2711,0.3563
