frame_ms,scenario_ms,game_ms,render_ms,gpu_ms
0.9845,0.0004,0.8453,1.0990,0.3575
24.5994,0.0008,19.9339,1.3487,0.3636
2.0229,0.0011,4.1433,1.4098,0.3636
1.4326,0.0007,1.9702,1.4098,0.4532
1.0648,0.0004,1.3893,1.1818,0.4532
0.8848,0.0005,1.0168,1.0178,0.4535
1.1111,0.0003,0.9041,0.9317,0.4744
1.1939,0.0003,1.1544,1.4303,0.4456
0.8318,0.0004,1.1155,0.9887,0.4627
1.1740,0.0004,0.7909,1.3409,0.4541
1.4619,0.0005,0.7321,1.3987,0.4541
2.8949,0.0007,0.9472,2.7565,0.4539
1.3610,0.0005,1.1405,1.5073,0.4566
1.4469,0.0009,0.9132,1.4337,0.4630
1.3032,0.0006,0.8583,1.3289,0.3593
1.4421,0.0006,0.7555,1.3951,0.3707
1.2967,0.0005,0.8573,1.3320,0.3740
1.3363,0.0005,0.8404,1.3136,0.3590
1.3482,0.0007,0.7782,1.3525,0.3730
1.2949,0.0004,0.8288,1.3033,0.3507
1.4118,0.0004,0.8266,1.2888,0.3793
1.2372,0.0004,0.8936,0.8327,0.3670
1.4450,0.0006,1.3118,1.5062,0.3773
1.5824,0.0004,1.0104,1.9830,0.3771
1.1663,0.0005,1.2906,1.0521,0.3635
1.2466,0.0007,0.9864,1.3500,0.3635
1.1825,0.0005,0.9298,1.2310,0.3615
1.3166,0.0007,0.7583,1.2759,0.3534
1.1975,0.0003,0.8186,1.1025,0.3534
1.5541,0.0008,0.8823,1.4714,0.3577
0.9292,0.0004,1.0460,1.0953,0.3577
1.4742,0.0014,0.8546,1.3171,0.3645
1.4011,0.0015,0.8206,1.5694,0.3549
1.2719,0.0005,0.8432,1.1780,0.3594
1.1821,0.0008,1.0395,1.1108,0.3594
1.8739,0.0004,0.9738,1.8563,0.4041
1.1408,0.0005,1.1836,1.3334,0.4041
1.4290,0.0005,0.8953,1.2654,0.3617
1.3380,0.0005,0.9064,1.3618,0.3617
1.3753,0.0005,0.8838,1.4515,0.3713
1.0745,0.0004,0.8690,0.9726,0.3713
